
El Cid La Ceiba Beach Resort,Cozumel,1819,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",N/A,All Inclusive,7,3:00 p.m.,12:00 p.m.,76,2,2
Coral Princess Hotel & Dive Resort,On the north side of Cozumel island,1919,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",N/A,European,8,3:00 p.m.,12:00 p.m.,140,1,3
Tukan Hotel Playa Del Carmen,Playa del Carmen,849,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,European,6,3:00 p.m.,12:00 p.m.,156,1,1
Grand Oasis Tulum Riviera,Akumal,1309,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,206,5,8
Bluebay Grand Esmeralda,Playa del Carmen,1319,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,8,3:00 p.m.,12:00 p.m.,979,6,5
Grand Oasis Palm,"Cancun’s hotel zone, on Isla Mujeres Bay",1329,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,8,3:00 p.m.,12:00 p.m.,514,7,9
Grand Oasis Cancun,Cancun’s Hotel Zone,1349,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,1230,13,15
Catalonia Yucatan Beach,Puerto Aventuras,1379,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,8,3:00 p.m.,12:00 p.m.,205,7,7
Bahia Principe Grand Coba,Tulum,1409,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,9,3:00 p.m.,12:00 p.m.,1080,9,7
The Sens Tulum Riviera,Akumal,1429,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3,All Inclusive,8,3:00 p.m.,12:00 p.m.,94,5,10
The Sens Cancun,Cancun's hotel zone on Isla Mujeres Bay,1469,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,9,3:00 p.m.,12:00 p.m.,173,10,12
Ocean Coral & Turquesa,Caracol,1509,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,594,13,9
Catalonia Riviera Maya Resort & Spa,Puerto Aventuras,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,8,3:00 p.m.,12:00 p.m.,423,11,8
Viva Maya By Wyndham,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,8,3:00 p.m.,12:00 p.m.,604,7,3
Grand Riviera Princess,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4,All Inclusive,9,3:00 p.m.,12:00 p.m.,674,9,9
Ocean Riviera Paradise,Playa del Carmen,1559,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,974,10,12
